album,singer,singerGender,releaseDate,price,songNumber,totalSales,QQ,WYY,KUGOU,KUWO,MIGU
光点,肖战,male,2020/4/25,3,1,136049880,117900645,0,11749413,6399822,0
YOUNG,蔡徐坤,male,2019/7/26,5,2,70355585,69046580,0,1024530,146410,138065
好想爱这个世界啊,华晨宇,male,2019/12/4,3,1,66664146,0,66664146,0,0,0
莲,张艺兴,male,2020/6/1,20,12,52509500,51343580,0,1025180,140740,0
无感,王一博,male,2019/12/30,3,1,51500556,0,51484032,0,0,16524
周杰伦的床边故事,周杰伦,male,2016/6/24,20,10,39717780,22996680,7687360,7542360,1491380,0
HONEY,张艺兴,male,2019/6/14,8,4,38234928,36818496,0,1287472,128960,0
哇,李宇春,female,2019/7/24,20,10,37112480,37112480,0,0,0,0
就要掷地有声的炸裂,R1SE,male,2019/8/8,12,6,36726156,35780232,0,753624,192300,0
Lover,Taylor Swift,female,2019/8/23,20,20,36613096,16210634,14651180,3413244,1173918,1164120
Reputation,Taylor Swift,female,2017/11/10,20,15,34852210,17738168,14891320,1934056,288666,0
新世界NEW WORLD,华晨宇,male,2020/4/8,20,8,34752280,0,34752280,0,0,0
1989,Taylor Swift,female,2014/10/27,19,19,33471677,18505871,11182583,3783223,0,0
说好不哭,周杰伦,male,2019/9/16,3,1,32611428,26734329,0,4770435,448437,658227
梦不落雨林,张艺兴,male,2018/10/19,27,22,31555683,27748224,0,3445389,362070,0
TO THE NINES,NINE PERCENT,male,2018/11/20,20,7,25791440,15357800,0,5161180,1140360,4132100
流行,李宇春,female,2017/11/7,20,10,24838000,23535760,0,1049700,252540,0
Mojito,周杰伦,male,2020/6/12,3,1,23945016,18754449,0,3963837,391002,835728
folklore (deluxe version),Taylor Swift,female,2020/7/24,25,16,23529497,10435861,11953200,983893,70693,85850
THE ALBUM,BLACKPINK,female,2020/10/2,18,8,23263398,20137590,0,2970000,155808,0
撞,火箭少女101,female,2018/8/18,10.1,8,22694972,21344198,0,1122453.4,228320.6,0
MADE,BIGBANG,male,2016/12/13,8,3,22559088,15891336,0,6207568,460184,0
伟大的渺小,林俊杰,male,2017/12/28,20,11,21046340,14106580,5116120,1543140,252080,28420
立风,火箭少女101,female,2019/6/23,27,13,19762542,18817569,0,783864,161109,0
Xplore,鹿晗,male,2016/12/27,5,2,18315995,6686880,0,11194590,434525,0
蓝色天空,张云雷,male,2019/10/18,10,3,17483110,16004630,0,1264320,214160,0
野,李宇春,female,2016/5/25,5,3,17089280,17089280,0,0,0,0
Reloaded I,鹿晗,male,2015/9/14,5,5,16794365,16794365,0,0,0,0
6,吴亦凡,male,2017/7/25,5,3,16625229,10056335,766234,5394150,405405,3105
Changes,Justin Bieber,male,2020/2/14,20,17,16101028,7475354,8064240,496684,33770,30980
18,黄明昊 (Justin),male,2020/8/3,25,10,15753200,0,15747150,0,0,6050
SHEEP,张艺兴,male,2017/10/7,15,10,15020040,11457540,0,2865690,696810,0
KWON JI YONG,G-DRAGON (权志龙),male,2017/6/8,10,5,14988810,13370680,0,1414970,203160,0
Chapter Z,朱正廷,male,2019/9/23,7,3,13854428,0,13850683,0,0,3745
L.O.V.E.,陈奕迅,male,2018/12/12,20,15,13578980,5622740,6541420,1104800,147920,162100
格格不入,陈立农,male,2020/5/29,20,12,13349124,12230372,658620,413597,22675,23860
Venture,鹿晗,male,2017/2/21,5,2,13037335,6326075,0,6192785,518475,0
MAP OF THE SOUL : 7,BTS (防弹少年团),male,2020/2/21,25,20,12457950,0,12457950,0,0,0
幸存者 Drifter,林俊杰,male,2020/10/20,18,6,12324312,7736328,3526686,907938,76158,77202
将故事写成我们,林俊杰,male,2019/9/20,3,1,12228297,6869742,3901539,1274013,127626,55377
牵挂,张云雷,male,2020/10/12,6,3,12224172,11715918,0,436236,72018,0
MIRRORS,王嘉尔,male,2019/10/25,15,8,12223725,0,12223725,0,0,0
